nombre,marca,categoria,precio,stock_minimo,codigo_barras,url_ecommerce
Ajolo Miel,,Jarabes,45,3,,https://www.tiendanaturistamx.com/productos/jarabe-ajolo-miel-reforzado-con-equinacea-y-propoleo-240-ml/
Ashwagandha,Natural Yazmin,Vitalidad,175,3,7502010000000,https://www.tiendanaturistamx.com/productos/ashwagandha-natural-yazmin-120-capsulas-de-500-mg-suplemento-antiestres-y-energetico/
Pal Sin Stress Jarabe,,Relajacion,85,3,7502010000000,https://www.tiendanaturistamx.com/productos/pal-sin-stress-solucion-suplemento-natural-antiestres-220-ml/
Citrato de Magnesio,Joy Natura,VIT y MIN,160,3,7503040000000,https://www.tiendanaturistamx.com/productos/citrato-de-magnesio-joy-natura-60-capsulas-de-500-mg-alta-biodisponibilidad/
Citrato de Magnesio,Ultra Soya,VIT y MIN,190,3,1520000000000,https://www.tiendanaturistamx.com/productos/citrato-de-magnesio-suplemento-alimenticio-para-salud-muscular-e-intestinal-100-tabletas-de-480-mg/
Citrato de Magnesio y Potasio ,Joy Natura,VIT y MIN,195,3,7503040000000,https://www.tiendanaturistamx.com/productos/citrato-de-magnesio-y-potasio-joy-natura-suplemento-alimenticio-60-capsulas-de-500-mg/
Citrato de Potasio,Joy Natura,VIT y MIN,165,3,7503040000000,https://www.tiendanaturistamx.com/productos/citrato-de-potasio-joy-natura-suplemento-alimenticio-con-alta-biodisponibilidad-60-capsulas-de-500-mg/
Omega 3 de Salmon,Vidanat,Corazon,240,3,7501060000000,https://www.tiendanaturistamx.com/productos/omega-3-de-salmon-vidanat-acidos-grasos-epa-y-dha-60-capsulas/
Omega 3,Vidanat,Corazon,190,3,7501060000000,https://www.tiendanaturistamx.com/productos/omega-3-vidanat-suplemento-alimenticio-con-acidos-grasos-esenciales-60-capsulas/
Promega 3,Progela,Corazon,240,3,7503010000000,https://www.tiendanaturistamx.com/productos/promega-3-suplemento-de-omega-3-con-epa-y-dha-60-capsulas-de-1221-mg/
Revitare Tocofersolan,,Antioxidantes,135,3,7502230000000,https://www.tiendanaturistamx.com/productos/revitare-vitamina-e-tocofersolan-suplemento-antioxidante-de-alta-absorcion-90-capsulas-de-400-mg/
Citrato de Magnesio,Pronacen,VIT y MIN,180,3,7503000000000,https://www.tiendanaturistamx.com/productos/citrato-de-magnesio-pronacen-suplemento-alimenticio-200-mg-90-tabletas/
Citrato de Potasio,Pronacen,VIT y MIN,180,3,7503000000000,https://www.tiendanaturistamx.com/productos/citrato-de-potasio-pronacen-suplemento-alimenticio-para-el-equilibrio-electrolitico-90-tabletas-de-860-mg/
Arandano,Schuler,Antioxidantes,103,3,631758000000,https://www.tiendanaturistamx.com/productos/schuler-arandano-suplemento-con-extracto-de-arandano-vitamina-c-y-e-60-tabletas/
Calendula,Matizando,Piel,52,3,7502210000000,https://www.tiendanaturistamx.com/productos/locion-de-calendula-matizando-style-ideal-para-heridas-acne-quemaduras-y-picaduras-140-ml/
Curcumina Plus,Margarita Nat,Articulaciones,190,3,7503000000000,https://www.tiendanaturistamx.com/productos/curcumina-plus-margarita-naturalmente-suplemento-de-curcuma-con-pimienta-negra-90-capsulas-de-800-mg/
Curcuyin,Lemon Coachella,Articulaciones,200,3,7503040000000,https://www.tiendanaturistamx.com/productos/curcuyin-curcuma-100-suplemento-antiinflamatorio-natural-30-tabletas-de-860-mg/
